authorSource,authorDest,score
"b'Ikogami, K'","b'Ikegami, K'",36.41946214044189
"b'Durand, T'","b'Abd El Kader, M'",30.447728230497415
"b'Karisiddippa, CR'","b'Garg, KC'",20.319787773056092
"b'Sharma, L'","b'Kumar, S'",19.890550313206276
"b'Paul, A'","b'Durand, T'",19.456633546473157
"b'Paul, A'","b'Dudognon, G'",19.456633546473157
"b'Paul, A'","b'Abd El Kader, M'",19.456633546473157
"b'Page-kennedy, T'","b'Fairclough, R'",16.00348390380132
"b'Fairclough, R'","b'Binns, R'",16.00348390380132
"b'Pellenbarg, R'","b'Humenik, JA'",15.494608354466457
"b'Romero, F'","b'Mendez, A'",15.292332527897262
"b'Van Vijk, E'","b'Nederhof, AJ'",15.26490019820331
"b'Ojasoo, T'","b'Mely, B'",14.065374034152399
"b'Miquel, JF'","b'Mely, B'",14.065374034152399
"b'Mely, B'","b'Dore, JC'",14.065374034152399
"b'Sharma, P'","b'Sangam, SL'",13.553040307053799
"b'Veugelers, R'","b'Deleus, F'",13.172870931756012
"b'Veugelers, R'","b'Andries, P'",13.172870931756012
"b'Van Looy, B'","b'Deleus, F'",13.172870931756012
"b'Van Looy, B'","b'Andries, P'",13.172870931756012
"b'Mello, J'","b'Deleus, F'",13.172870931756012
"b'Mello, J'","b'Andries, P'",13.172870931756012
"b'Jain, A'","b'Gupta, BM'",13.162416109669568
"b'Eberhart, HJ'","b'Braun, T'",13.042558713270504
"b'Zanetta, DMT'","b'Fischer, AL'",12.575419645736307
"b'Spruyt, E'","b'Kint, A'",12.575419645736307
"b'Ingwersen, P'","b'Hirvonen, L'",12.575419645736307
"b'Ebeling, W'","b'Bonitz, M'",12.575419645736307
"b'Ruiz-perez, R'","b'Anegon, FD'",10.14300144968356
"b'Velloso, A'","b'Leta, J'",9.837593810232969
"b'Matillon, Y'","b'Dore, JC'",9.431564734302231
"b'Snyder, H'","b'Martinson, A'",9.168467526235535
"b'Kretschmer, H'","b'Davis, M'",9.168467526235535
"b'Liang, LM'","b'Glanzel, W'",9.127030101040347
"b'Zsindely, S'","b'Glanzel, W'",9.067595046955534
"b'Vanleeuwen, TN'","b'Noyons, ECM'",8.858474919699633
"b'Vermeulin, P'","b'Courtial, JP'",8.83818376914645
"b'Schweighoffer, MG'","b'Courtial, JP'",8.83818376914645
"b'Van Raan, AFJ'","b'Buter, RK'",8.73975946406411
"b'Tshiteya, R'","b'Malpohl, G'",8.633744272166776
"b'Wilkinson, D'","b'Musgrove, PB'",8.584059348440357
"b'Tseng, TM'","b'Lee, YS'",8.584059348440357
"b'Tseng, TM'","b'Hsieh, WH'",8.584059348440357
"b'Price, L'","b'Musgrove, PB'",8.584059348440357
"b'Musgrove, PB'","b'Harries, G'",8.584059348440357
"b'Markusova, VA'","b'Hood, WW'",8.584059348440357
"b'Lee, YS'","b'Chiu, CH'",8.584059348440357
"b'Hsieh, WH'","b'Chiu, CH'",8.584059348440357
"b'Yitzhaki, M'","b'Rao, IKR'",8.556622409417358
"b'Welljamsdorof, A'","b'Albertini, R'",8.304820237218406
