authorSource,authorDest,score
"b'Eowles, CA'","b'Briggs, MB'",68.16121869662447
"b'Eowles, CA'","b'Bowles, CA'",68.16121869662447
"b'Donnadieu, S'","b'Caillieux, N'",24.276458134077032
"b'Kusma, B'","b'Dinh, QT'",23.66589324909877
"b'Kusma, B'","b'Chung, KF'",23.66589324909877
"b'Fischer, TC'","b'Dinh, QT'",23.66589324909877
"b'Fischer, TC'","b'Chung, KF'",23.66589324909877
"b'Young, T'","b'Wooding, S'",22.53992903280616
"b'Wooding, S'","b'Frame, I'",22.53992903280616
"b'Onghena, P'","b'Covert-vail, L'",19.931568569324174
"b'Leta, J'","b'Debackere, K'",19.03018967418934
"b'Thijs, B'","b'De Moor, B'",17.539004561013208
"b'Mustar, P'","b'Mercier, S'",16.585801300341018
"b'Mustar, P'","b'Lewison, G'",16.585801300341018
"b'Yu, H'","b'White, HD'",15.445412464587143
"b'Yu, H'","b'Boell, SK'",15.445412464587143
"b'Wilson, CS'","b'Saenz-feijoo, R'",15.421166507261624
"b'Saenz-feijoo, R'","b'Donnadieu, S'",15.421166507261624
"b'Saenz-feijoo, R'","b'Caillieux, N'",15.421166507261624
"b'Glenisson, P'","b'Debackere, K'",14.994687541928617
"b'Vignola-gagne, E'","b'Campbell, D'",14.60674613539338
"b'Cote, G'","b'Campbell, D'",14.60674613539338
"b'Verbeek, A'","b'Tijssen, R'",13.914512780872341
"b'Tijssen, R'","b'Thijs, B'",13.914512780872341
"b'Rodriguez, V'","b'Glanzel, W'",13.873567485573627
"b'Wilcox-jay, K'","b'Hanney, S'",13.473871787030749
"b'Wilcox-jay, K'","b'Buxton, M'",13.473871787030749
"b'Leta, J'","b'Glenisson, P'",12.89878426763923
"b'Wang, XH'","b'Guo, R'",12.575419645736307
"b'Torres-salinas, D'","b'Jurado-alameda, E'",12.348486397896256
"b'Torres-salinas, D'","b'De Osma, ER'",12.348486397896256
"b'Torres-salinas, D'","b'De La Moneda, M'",12.348486397896256
"b'Torres-salinas, D'","b'Courtial, JP'",12.348486397896256
"b'Jurado-alameda, E'","b'Delgado-lopez-cozar, E'",12.348486397896256
"b'Jurado-alameda, E'","b'De Osma, ER'",12.348486397896256
"b'Jurado-alameda, E'","b'De La Moneda, M'",12.348486397896256
"b'Delgado-lopez-cozar, E'","b'De Osma, ER'",12.348486397896256
"b'Delgado-lopez-cozar, E'","b'De La Moneda, M'",12.348486397896256
"b'Delgado-lopez-cozar, E'","b'Courtial, JP'",12.348486397896256
"b'De Osma, ER'","b'Courtial, JP'",12.348486397896256
"b'De La Moneda, M'","b'Courtial, JP'",12.348486397896256
"b'Gomez-crisostomo, R'","b'Crisostomo, RG'",11.270601965199198
"b'Smith, C'","b'Pfeil, KM'",10.31836806608103
"b'Smith, C'","b'Humenik, JA'",10.31836806608103
"b'Smith, A'","b'Pfeil, KM'",10.31836806608103
"b'Smith, A'","b'Humenik, JA'",10.31836806608103
"b'Pfeil, KM'","b'Malpohl, G'",10.31836806608103
"b'Pfeil, KM'","b'Leydesdorff, L'",10.31836806608103
"b'Pfeil, KM'","b'Del Rio, JA'",10.31836806608103
"b'Pfeil, KM'","b'Cortes, HD'",10.31836806608103
"b'Malpohl, G'","b'Humenik, JA'",10.31836806608103
"b'Leydesdorff, L'","b'Humenik, JA'",10.31836806608103
"b'Humenik, JA'","b'Del Rio, JA'",10.31836806608103
"b'Humenik, JA'","b'Cortes, HD'",10.31836806608103
"b'Kretschmer, U'","b'Hoffmann, U'",10.14300144968356
"b'Weber, J'","b'Smith, DR'",9.431564734302231
"b'Granadino, B'","b'Aguillo, IF'",9.431564734302231
"b'Sahoo, BB'","b'Rousseau, R'",8.83818376914645
"b'Van Looy, B'","b'Janssens, F'",8.714049329311013
"b'Van Looy, B'","b'Glanzel, W'",8.714049329311013
"b'Vargas-quesada, B'","b'Ovalle-perandones, MA'",8.584059348440357
"b'Vargas-quesada, B'","b'Anegon, FD'",8.584059348440357
"b'Thelwall, M'","b'Scharnhorst, A'",8.584059348440357
"b'Thelwall, M'","b'Hellsten, I'",8.584059348440357
"b'Pellegrino, D'","b'Kretschmer, H'",8.584059348440357
"b'Ovalle-perandones, MA'","b'Chinchilla-rodriguez, Z'",8.584059348440357
"b'Kretschmer, H'","b'Horowitz, M'",8.584059348440357
"b'Kretschmer, H'","b'Chen, Y'",8.584059348440357
"b'Chinchilla-rodriguez, Z'","b'Anegon, FD'",8.584059348440357
"b'Zamora, H'","b'Ramirez, AMU'",8.12674705376512
"b'Utrilla, AM'","b'Ramirez, AMU'",8.12674705376512
"b'Scharnhorst, A'","b'Prieto, JA'",8.12674705376512
"b'Prieto, JA'","b'Cothey, V'",8.12674705376512
"b'Thijs, B'","b'Glenisson, P'",7.914699848203403
"b'Vanleeuwen, TN'","b'Moreno, L'",7.841913661584994
"b'Van Raan, AFJ'","b'Moreno, L'",7.841913661584994
"b'Vergidis, PI'","b'Soteriades, ES'",7.4358845856542555
"b'Soteriades, ES'","b'Paraschakis, K'",7.4358845856542555
"b'Soteriades, ES'","b'Karavasiou, AI'",7.4358845856542555
"b'Rodriguez, V'","b'Leta, J'",7.405175614180221
"b'Rodriguez, V'","b'Glenisson, P'",7.405175614180221
"b'Liu, YX'","b'Egghe, L'",7.251804728880247
"b'Zuccala, A'","b'Vignola-gagne, E'",7.09976797472963
"b'Zuccala, A'","b'Lisee, C'",7.09976797472963
"b'Zuccala, A'","b'Gingras, Y'",7.09976797472963
"b'Zuccala, A'","b'Cote, G'",7.09976797472963
"b'Zuccala, A'","b'Campbell, D'",7.09976797472963
"b'Vignola-gagne, E'","b'Lisee, C'",7.09976797472963
"b'Perianes-rodriguez, A'","b'Munoz-molina, A'",7.09976797472963
"b'Perianes-rodriguez, A'","b'Munoz-fernandez, FJ'",7.09976797472963
"b'Perianes-rodriguez, A'","b'Herrero-solana, V'",7.09976797472963
"b'Perianes-rodriguez, A'","b'Corera-alvarez, E'",7.09976797472963
"b'Olmeda-gomez, C'","b'Munoz-molina, A'",7.09976797472963
"b'Olmeda-gomez, C'","b'Munoz-fernandez, FJ'",7.09976797472963
"b'Olmeda-gomez, C'","b'Herrero-solana, V'",7.09976797472963
"b'Olmeda-gomez, C'","b'Corera-alvarez, E'",7.09976797472963
"b'Lisee, C'","b'Gingras, Y'",7.09976797472963
"b'Lisee, C'","b'Cote, G'",7.09976797472963
"b'Lisee, C'","b'Campbell, D'",7.09976797472963
"b'Rojas-sola, JI'","b'Rios, C'",6.999146538249484
"b'Rojas-sola, JI'","b'Quevedo-blasco, R'",6.999146538249484
"b'Rojas-sola, JI'","b'Buela-casal, G'",6.999146538249484
"b'Rios, C'","b'Fernandez-lopez, JA'",6.999146538249484
"b'Quevedo-blasco, R'","b'Fernandez-lopez, JA'",6.999146538249484
"b'Fernandez-lopez, JA'","b'Buela-casal, G'",6.999146538249484
"b'Torres-salinas, D'","b'Ruiz-perez, R'",6.909538282867647
"b'Ruiz-perez, R'","b'Banos, RR'",6.909538282867647
"b'Ruiz-perez, R'","b'Bailon-moreno, R'",6.909538282867647
"b'Roy, S'","b'Madhavi, Y'",6.643856189774725
"b'Roy, S'","b'Lal, K'",6.643856189774725
"b'Roy, S'","b'Dutt, B'",6.643856189774725
"b'Roy, S'","b'Bahl, M'",6.643856189774725
"b'Madhavi, Y'","b'Lal, K'",6.643856189774725
"b'Madhavi, Y'","b'Jamal, T'",6.643856189774725
"b'Madhavi, Y'","b'Gupta, BM'",6.643856189774725
"b'Madhavi, Y'","b'Dutt, B'",6.643856189774725
"b'Lal, K'","b'Jamal, T'",6.643856189774725
"b'Lal, K'","b'Gupta, BM'",6.643856189774725
"b'Lal, K'","b'Dutt, B'",6.643856189774725
"b'Lal, K'","b'Bahl, M'",6.643856189774725
"b'Jamal, T'","b'Dutt, B'",6.643856189774725
"b'Jamal, T'","b'Bahl, M'",6.643856189774725
"b'Gupta, BM'","b'Dutt, B'",6.643856189774725
"b'Gupta, BM'","b'Bahl, M'",6.643856189774725
"b'Dutt, B'","b'Bahl, M'",6.643856189774725
"b'Tunger, D'","b'Glanzel, W'",6.643856189774724
"b'Shaw, D'","b'Meho, LI'",6.643856189774724
"b'Ramachandran, S'","b'Persson, O'",6.643856189774724
"b'Park, HW'","b'Lee, JY'",6.643856189774724
"b'Martin, J'","b'Lynd, FE'",6.643856189774724
"b'Harries, G'","b'Angus, E'",6.643856189774724
"b'Hamilton, RD'","b'Casey, DL'",6.643856189774724
"b'Thijs, B'","b'Rodriguez, V'",6.549883987364815
"b'Verbeek, A'","b'Magerman, T'",6.143854911434077
"b'Verbeek, A'","b'Janssens, F'",6.143854911434077
"b'Verbeek, A'","b'Glanzel, W'",6.143854911434077
